Timestamp,AirTemp,SurfaceWaterTemp,DeepWaterTemp,pH,DOC,Dissolved O2,WindSpeed,Ice Cover Fraction,Measured CH4 Flux
-,°C,°C,°C,-,mg/L,mg/L,m/s,-,(kg/m^2)/hr
2022-01-01 00:00,-7.53,-2.50,6.44,7.62,93.85,9.19,2.89,1,0.001
2022-01-01 01:00,-4.44,-2.50,6.38,7.67,90.78,8.35,3.21,1,0.001
2022-01-01 02:00,-6.21,-2.50,5.55,7.7,88.79,10.09,5.22,1,0.001
2022-01-01 03:00,-9.08,-2.50,6.21,7.54,92.14,8.51,2.25,1,0.001
2022-01-01 04:00,-8.88,-2.50,6.47,7.54,87.54,8.59,2.04,1,0.001
2022-01-01 05:00,-8.51,-2.50,6.18,7.4,89.2,9.06,2.17,1,0.001
2022-01-01 06:00,-8.35,-2.50,6.44,7.76,87.71,8.65,5.14,1,0.0011
2022-01-01 07:00,-8.95,-2.50,6.18,7.75,89.62,9.07,2.59,1,0.001
2022-01-01 08:00,-14.3,-2.50,7.05,7.54,90.67,9.18,2.78,1,0.001
2022-01-01 09:00,-11.23,-2.50,6.98,7.37,87.04,7.82,2.81,1,0.001
2022-01-01 10:00,-8.46,-2.50,7.02,7.73,86.14,8.62,4.32,1,0.001
2022-01-01 11:00,-10.77,-2.50,6.42,7.63,88.39,8.86,4.92,1,0.001
2022-01-01 12:00,-9.04,-2.50,6.71,7.55,86.53,8.28,5.65,1,0.001
2022-01-01 13:00,-8.98,-2.50,6.6,7.7,88.18,7.63,3.68,1,0.001
2022-01-01 14:00,-10.33,-2.50,6.02,7.75,84.73,8.54,2.87,1,0.001
2022-01-01 15:00,-10.78,-2.50,5.98,7.59,95.02,8.78,2.53,1,0.001
2022-01-01 16:00,-12.17,-2.50,5.37,7.67,90.45,8.29,5.51,1,0.001
2022-01-01 17:00,-8.88,-2.50,5.87,7.61,89.55,8.45,4.23,1,0.001
2022-01-01 18:00,-8.68,-2.50,6.35,7.71,86.56,8.96,4.02,1,0.001
2022-01-01 19:00,-7.53,-2.50,5.2,7.72,85.26,8.39,5.67,1,0.001
2022-01-01 20:00,-8.77,-2.50,6.7,7.55,89.58,8.66,5.11,1,0.001
2022-01-01 21:00,-11.34,-2.50,5.74,7.58,86.17,7.85,3.56,1,0.001
2022-01-01 22:00,-7.83,-2.50,6.71,7.63,92.19,8.6,5.03,1,0.00121
2022-01-01 23:00,-6.79,-2.50,5.98,7.65,88.87,9.09,5.42,1,0.001
2022-01-02 00:00,-10,-2.50,6.55,7.64,89.83,8.61,1.6,1,0.001
2022-01-02 01:00,-8.07,-2.50,6.33,7.56,85.71,8.56,3.28,1,0.001
2022-01-02 02:00,-8.81,-2.50,5.1,7.57,90.67,8.1,2.23,1,0.001
2022-01-02 03:00,-12.26,-2.50,6.1,7.59,88.87,7.62,2.61,1,0.001
2022-01-02 04:00,-9.34,-2.50,6.93,7.5,85.45,8.55,2.61,1,0.001
2022-01-02 05:00,-6.78,-2.50,5.71,7.52,89.26,8.31,2.76,1,0.001
2022-01-02 06:00,-10.91,-2.50,6.74,7.51,91.54,7.28,3.36,1,0.001
2022-01-02 07:00,-8.42,-2.50,5.76,7.66,93.01,8.94,4.72,1,0.001
2022-01-02 08:00,-10.01,-2.50,6.36,7.41,91.14,8.32,3.27,1,0.001
2022-01-02 09:00,-13.56,-2.50,6.05,7.6,90.43,8.39,6.16,1,0.001
2022-01-02 10:00,-12.54,-2.50,6.71,7.48,88.09,7.88,2.75,1,0.001
2022-01-02 11:00,-7.96,-2.50,5.47,7.58,87.03,8.79,4.93,1,0.001
2022-01-02 12:00,-8.43,-2.50,5.89,7.7,90.53,7.98,5.73,1,0.001
2022-01-02 13:00,-11,-2.50,7.03,7.66,89.99,9.52,4.49,1,0.001
2022-01-02 14:00,-10.87,-2.50,5.76,7.47,85.77,8.67,5.87,1,0.001
2022-01-02 15:00,-10.43,-2.50,5.91,7.62,84.78,9.03,6.76,1,0.001
2022-01-02 16:00,-8.51,-2.50,5.6,7.57,88.12,8.6,2.52,1,0.001
2022-01-02 17:00,-8.01,-2.50,6.53,7.7,88.67,8.67,3.48,1,0.001
2022-01-02 18:00,-9.83,-2.50,6.22,7.66,90.35,8.8,2.86,1,0.001
2022-01-02 19:00,-10.15,-2.50,5.74,7.48,80.91,9.13,5.61,1,0.001
2022-01-02 20:00,-9.07,-2.50,6.09,7.53,88.54,8.47,5.43,1,0.001
2022-01-02 21:00,-6.57,-2.50,5.7,7.76,90.39,8.55,4.02,1,0.001
2022-01-02 22:00,-7.8,-2.50,6.03,7.61,92.88,8.11,3.75,1,0.001
2022-01-02 23:00,-8.62,-2.50,6.07,7.55,94.97,8.46,7.03,1,0.001
2022-01-03 00:00,-7.82,-2.50,6.39,7.52,85.63,8.31,4.77,1,0.001
2022-01-03 01:00,-11.71,-2.50,5.97,7.7,84.92,8.45,3.99,1,0.00112
2022-01-03 02:00,-9.46,-2.50,6.25,7.53,86.59,8.64,4.61,1,0.001
2022-01-03 03:00,-9.02,-2.50,6.16,7.66,89.27,8.6,2.27,1,0.001
2022-01-03 04:00,-11.84,-2.50,5.84,7.58,86.96,8.77,4.25,1,0.001
2022-01-03 05:00,-9.47,-2.50,4.65,7.59,92.08,8.51,6.9,1,0.001
2022-01-03 06:00,-6.32,-2.50,6.49,7.6,87.42,9.11,4.8,1,0.001
2022-01-03 07:00,-13.13,-2.50,6.84,7.52,88.43,8.22,5.06,1,0.001
2022-01-03 08:00,-9.67,-2.50,6.25,7.49,96.17,7.8,3.71,1,0.001
2022-01-03 09:00,-11.52,-2.50,6.27,7.65,90.88,8.56,2.43,1,0.001
2022-01-03 10:00,-6.66,-2.50,6.14,7.67,89.91,8.69,6.3,1,0.001
2022-01-03 11:00,-12.18,-2.50,6.98,7.71,83.12,9.18,3.88,1,0.001
2022-01-03 12:00,-10.76,-2.50,6.34,7.67,85.83,8.27,4.63,1,0.001
2022-01-03 13:00,-8.11,-2.50,6.23,7.54,84.17,9.72,3.26,1,0.001
2022-01-03 14:00,-8.57,-2.50,6.3,7.47,88.87,8.3,3.03,1,0.001
2022-01-03 15:00,-12.85,-2.50,6.47,7.55,93.99,8.65,3.11,1,0.001
2022-01-03 16:00,-10.09,-2.50,5.89,7.73,86.87,8.68,2.73,1,0.001
2022-01-03 17:00,-12.27,-2.50,5.12,7.78,83.57,8.25,1.36,1,0.001
2022-01-03 18:00,-5.51,-2.50,6.69,7.53,87.88,9.07,2.69,1,0.001
2022-01-03 19:00,-11.98,-2.50,6.94,7.65,88.56,8.55,7.61,1,0.001
2022-01-03 20:00,-9.47,-2.50,6.5,7.65,89.62,9.46,4.95,1,0.001
2022-01-03 21:00,-8.27,-2.50,5.97,7.48,89.63,8.9,2.7,1,0.001
2022-01-03 22:00,-8.81,-2.50,6.16,7.52,88.13,8.16,2.61,1,0.001
2022-01-03 23:00,-10.28,-2.50,7.05,7.5,83.74,7.76,3.23,1,0.001
2022-01-04 00:00,-9.72,-2.50,5.85,7.53,93.23,8.51,3.01,1,0.001
2022-01-04 01:00,-9.79,-2.50,5.38,7.6,90.19,8.72,6.61,1,0.001
2022-01-04 02:00,-13.99,-2.50,6.12,7.63,87.15,8.02,5.56,1,0.001
2022-01-04 03:00,-12.69,-2.50,5.67,7.62,87.54,9.01,3.83,1,0.001
2022-01-04 04:00,-9.14,-2.50,5.24,7.39,86.36,7.75,4.25,1,0.001
2022-01-04 05:00,-9.92,-2.50,5.56,7.45,90.2,8.43,3.88,1,0.001
2022-01-04 06:00,-11.11,-2.50,5.26,7.46,89.99,8.22,4.39,1,0.001
2022-01-04 07:00,-12.93,-2.50,6.4,7.63,83.67,7.08,5.34,1,0.001
2022-01-04 08:00,-11.43,-2.50,5.72,7.58,85.42,8.2,4.47,1,0.001
2022-01-04 09:00,-13.33,-2.50,6.1,7.67,89.45,9.02,3.94,1,0.001
2022-01-04 10:00,-6.73,-2.50,6.33,7.64,79.98,8.93,4.56,1,0.001
2022-01-04 11:00,-8.11,-2.50,6.35,7.62,82.82,9.12,4.72,1,0.001
2022-01-04 12:00,-10.61,-2.50,5.61,7.54,90.06,7.83,4.2,1,0.001
2022-01-04 13:00,-6.8,-2.50,6.4,7.46,87.85,9.41,2.61,1,0.001
2022-01-04 14:00,-13.39,-2.50,5.51,7.74,93.02,7.69,4.25,1,0.001
2022-01-04 15:00,-7.42,-2.50,6.03,7.65,84.33,9.3,3.53,1,0.00117
2022-01-04 16:00,-12.68,-2.50,5.36,7.75,88.46,8.12,5.8,1,0.001
2022-01-04 17:00,-7.35,-2.50,6.02,7.52,88.43,9.85,2.02,1,0.001
2022-01-04 18:00,-13.3,-2.50,5.45,7.42,88.68,7.83,4.47,1,0.001
2022-01-04 19:00,-11,-2.50,6.14,7.6,87.85,8.47,3.69,1,0.001
2022-01-04 20:00,-11.32,-2.50,5.83,7.47,84.23,9.19,2.12,1,0.001
2022-01-04 21:00,-14.94,-2.50,5.75,7.75,91.6,8.14,3.51,1,0.001
2022-01-04 22:00,-8.49,-2.50,5.51,7.72,87.47,7.48,4.15,1,0.001
2022-01-04 23:00,-9.7,-2.50,6.28,7.53,90.51,9.14,4.37,1,0.001
2022-01-05 00:00,-10.02,-2.50,6.29,7.39,88.12,9.72,3.64,1,0.001
2022-01-05 01:00,-9.67,-2.50,6.77,7.5,84.7,8.44,4.26,1,0.001
2022-01-05 02:00,-8.7,-2.50,5.41,7.61,89.22,8.19,4.73,1,0.001
2022-01-05 03:00,-7.84,-2.50,6.2,7.63,93.19,8.56,4.83,1,0.001
2022-01-05 04:00,-9.79,-2.50,5.61,7.66,88.93,8.75,2.99,1,0.001
2022-01-05 05:00,-10.69,-2.50,6.28,7.7,89.12,8.1,3.36,1,0.001
2022-01-05 06:00,-9.96,-2.50,5.75,7.53,86.96,8.9,5.59,1,0.001
2022-01-05 07:00,-12.55,-2.50,5.29,7.56,88.34,8.39,3.48,1,0.001
2022-01-05 08:00,-12.1,-2.50,5.64,7.45,82.57,8.88,1.79,1,0.001
2022-01-05 09:00,-11.56,-2.50,6.22,7.56,82.42,8.68,4.26,1,0.001
2022-01-05 10:00,-11.04,-2.50,6.48,7.57,87.05,8.86,4.08,1,0.001
2022-01-05 11:00,-11.51,-2.50,5.21,7.48,91.09,8.38,3.87,1,0.001
2022-01-05 12:00,-14.19,-2.50,4.27,7.6,87.41,8.94,1.48,1,0.001
2022-01-05 13:00,-13.91,-2.50,5.9,7.74,86.34,8.77,2.43,1,0.001
2022-01-05 14:00,-11.37,-2.50,5.32,7.7,89.2,8.17,3.1,1,0.001
2022-01-05 15:00,-9.38,-2.50,6.27,7.58,90.84,8.48,5.49,1,0.001
2022-01-05 16:00,-10.64,-2.50,5.67,7.67,85.98,8.2,3.62,1,0.001
2022-01-05 17:00,-9.57,-2.50,5.13,7.59,84.05,8.73,6.13,1,0.001
2022-01-05 18:00,-13.76,-2.50,6.31,7.59,84.09,8.97,3.98,1,0.001
2022-01-05 19:00,-11.46,-2.50,5.88,7.49,85.67,8.44,2.01,1,0.001
2022-01-05 20:00,-12.01,-2.50,5.56,7.73,88.4,9.63,3.55,1,0.001
2022-01-05 21:00,-10.68,-2.50,6.21,7.53,84.05,7.55,3.42,1,0.001
2022-01-05 22:00,-8.94,-2.50,5.83,7.69,93.86,8.01,3.59,1,0.001
2022-01-05 23:00,-9.52,-2.50,6.36,7.64,85.3,9.08,4.59,1,0.001
2022-01-06 00:00,-13.8,-2.50,5.63,7.65,93.11,8.15,4.86,1,0.001
2022-01-06 01:00,-13.48,-2.50,6.98,7.62,92.33,8.74,5.2,1,0.001
